Word,Count
making,27
public,9
statement,30
tomorrow,24
discuss,2
country,125
victory,13
impeachment,183
hoax,80
the,84
want,94
run,13
can,40
caucus,3
brad,4
complete,25
disaster,13
bring,10
mike,24
asap,1
thank,211
great,444
job,80
triumphant,1
evening,11
nice,18
wonderful,28
state,60
union,5
speech,7
honor,13
done,103
it,134
qefydg9jz0,1
approval,31
rating,26
republican,119
party,105
record,45
big,147
win,69
overall,3
new,133
high,40
economy,52
major,20
would,110
higher,4
without,16
phony,24
witch,78
market,32
today,71
good,99
economic,12
news,143
democrat,88
really,51
up,20
not,16
re,24
election,52
vote,80
history,75
far,45
beating,1
president,267
previous,3
lot,17
also,57
plus,14
start,18
blaming,3
russia,15
instead,5
incompetence,1
voting,13
fault,2
nothing,198
long,30
stay,12
is,33
important,36
tradition,1
unmitigated,1
works,6
like,95
ran,2
remember,20
billion,24
dollar,16
website,1
cost,9
that,60
person,16
claim,6
last,52
night,47
trump,149
us,55
tonight,25
you,101
many,108
people,174
know,46
guy,21
fantastic,20
political,26
talent,3
rush,8
nobody,11
him,21
looking,35
speedy,1
recovery,3
friend,11
where,16
second,28
informer,5
corrupt,68
politician,22
make,57
conversation,33
house,107
much,75
more,29
keep,34
again,42
go,64
trade,46
china,72
canada,8
japan,4
south,12
times,32
coming,16
waiting,3
all,42
else,22
could,24
off,5
hope,20
realize,2
totally,48
partisan,18
read,62
listen,6
foreign,18
minister,18
said,77
no,20
pressure,24
ever,65
satisfy,1
radical,58
left,69
sanders,6
they,34
going,98
this,65
company,5
city,9
game,19
comeback,3
immense,1
true,40
restore,3
least,13
among,2
together,24
let,35
text,3
super,1
bowl,1
ad,1
enjoy,14
interview,16
foxnetworks,1
get,114
primary,4
debate,5
stage,4
right,29
stand,11
lift,3
sometimes,2
fair,14
watching,17
nowhere,4
wasting,4
money,29
getting,41
rig,3
crazy,33
something,18
corybooker,1
part,13
fake,130
working,46
fact,36
covering,1
too,1
boring,2
do,24
media,69
don,98
justice,18
pushing,5
destabilize,2
better,28
senate,55
taking,17
correct,14
thanks,16
invaluable,1
help,33
chuck,23
wall,39
moving,6
along,18
strong,49
tall,1
quickly,17
happy,21
birthday,5
man,20
little,13
exercise,2
morning,14
poll,26
highest,11
since,21
despite,27
constant,1
rallies,1
which,10
never,153
see,74
show,25
earth,6
fun,1
winning,18
number,28
one,101
shown,1
cover,4
fairly,4
objectively,1
matter,9
give,26
end,37
satisfied,2
gave,11
chanting,1
fairness,9
put,26
unfair,16
hunt,75
congress,54
zero,35
case,52
scamming,1
incredible,20
final,5
argument,1
away,24
shifty,39
terrible,21
fighting,30
time,105
best,47
yet,24
come,41
across,9
spectrum,1
disgusted,2
hoaxes,1
con,12
registered,3
leaving,11
welcoming,2
wide,3
open,14
arms,5
spent,6
trying,35
overturn,2
sure,12
face,6
another,49
crushing,4
defeat,5
next,24
back,50
hold,5
white,29
safe,13
fully,15
rebuilt,4
military,57
powerful,8
lethal,2
before,25
courage,4
caliphate,4
founder,1
leader,23
animal,2
known,8
al,8
dead,6
socialist,1
historic,10
landslide,1
love,24
landed,4
rally,28
closely,6
outbreak,1
michigan,5
now,35
visit,3
heading,13
biggest,17
deal,62
made,59
yesterday,22
barely,4
thought,16
credibility,13
car,7
building,14
expanding,1
here,17
two,51
age,4
congressman,27
protect,28
amendment,26
crime,48
border,48
total,39
endorsement,22
babin4congress,1
supporter,8
agenda,14
southern,11
briefing,4
secretary,9
defense,11
mark,15
blasted,1
homeless,12
district,11
shape,5
pol,3
opinion,5
mentally,2
deranged,3
received,4
continue,17
monitor,5
ongoing,7
anywhere,7
world,37
top,11
nancy,67
take,29
authority,2
use,13
defend,5
commander,2
harder,12
to,14
example,2
over,9
first,46
disastrous,3
outsourcing,1
truly,10
reciprocal,1
wealth,1
growth,7
pro,27
worker,5
unemployment,9
level,9
million,6
cutting,4
edge,2
art,1
agreement,6
kept,4
massive,20
auto,8
evidence,17
transcript,41
itself,5
talk,18
certain,8
business,8
care,14
sorry,7
happen,20
war,10
resolution,5
5000,1
down,17
everyone,18
heart,4
harris,1
trial,21
already,28
given,11
none,3
play,4
ambassador,10
ago,13
anything,31
non,2
saying,14
sir,2
mistakenly,2
libyan,1
model,1
and,32
complain,1
nonsense,2
publicly,2
information,21
produced,5
enough,8
them,23
always,28
scream,1
inherit,1
generations,1
fought,4
secure,4
then,4
must,50
devote,2
everything,34
toward,5
way,60
save,6
drain,7
swamp,10
late,8
term,6
abortion,4
socialism,5
blatant,5
corruption,20
family,21
dream,6
jersey,3
amazing,19
i,62
three,17
by,2
considering,5
هذا,1
قد,1
عليه,1
فلسطين,1
بعاصمة,1
أجزاء,1
القدس,1
תמיד,1
לצד,1
ישראל,1
היהודי,1
תומך,1
בבטיחותם,1
ובזכותם,1
במולדתם,1
הגיע,1
לשלום,1
fed,19
smart,12
lower,12
rate,12
interest,19
competitive,3
pay,13
even,108
though,15
are,8
standard,3
focus,8
paying,7
refinancing,1
debt,2
almost,19
inflation,7
say,38
yes,7
pathetic,8
politically,4
loading,1
van,5
name,12
senator,14
forever,2
fox,11
low,14
lemon,1
television,5
with,6
charlie,1
knew,19
brilliant,5
roger,5
christine,1
full,10
2polkxq8ke,1
international,2
holocaust,1
remembrance,1
day,54
millions,24
precious,1
perished,1
result,6
horrific,3
perpetrated,2
hearing,18
close,18
communication,1
concerning,4
virus,1
strongly,13
watch,15
xi,7
necessary,4
extraordinary,4
release,14
report,31
tampering,1
exoneration,1
link,2
adamant,1
testify,20
told,10
aid,11
tied,3
termination,1
bolton,4
sell,3
book,43
bryant,2
basketball,2
life,8
passion,2
future,12
loss,3
beautiful,12
daughter,3
moment,2
devastating,2
helicopter,1
crash,4
wrong,74
majority,8
federal,37
supreme,14
court,28
employment,4
nimble,1
join,7
be,6
meet,16
press,9
softball,3
calling,8
fraudulent,13
exposed,8
fraud,21
anyone,10
sleepyeyes,1
goodwin,2
york,36
post,19
editorial,2
street,7
journal,5
shall,2
king,4
bottom,2
line,5
becomes,2
vassal,1
reason,20
repudiate,1
abuse,5
power,16
question,9
create,6
idea,13
smoke,1
think,44
there,33
fire,8
collusion,10
sense,4
of,9
days,14
dismantled,1
lightweight,5
thinker,1
clue,7
huge,5
damage,3
follower,1
he,25
fired,3
rep,13
jordan,2
knockout,1
blow,3
reputation,3
probably,5
sick,6
price,6
interference,2
seen,22
absolutely,16
illegally,5
phone,37
call,91
امور,1
گوید,1
خواستار,1
متحده,2
اما,2
خواهد,2
تحریم,2
برداشته,1
negotiate,3
united,78
removed,4
quote,1
inhofe,1
chairman,11
armed,4
committee,5
ask,9
unless,4
real,24
motivation,1
busy,3
we,28
look,31
issue,3
men,6
nick,3
minded,2
able,15
unfairly,6
indeed,2
everybody,9
cheatin,1
nervous,12
dumb,2
rock,3
entire,14
social,2
stuff,7
unpardonable,1
beat,8
touch,1
policy,10
domestic,1
welcome,2
nation,18
strengthen,1
local,8
deliver,6
excellent,6
affordable,1
consultation,1
designers,1
present,8
space,10
force,18
sixth,1
branch,2
magnificent,2
hard,51
contain,1
coronavirus,1
greatly,3
efforts,1
transparency,8
work,41
well,40
particular,2
behalf,2
repeating,1
old,7
thing,32
ought,2
omar,3
angry,9
191,1
blame,5
me,44
will,6
interfering,2
behind,4
scam,50
attack,18
often,2
answer,5
but,8
choice,11
constitutional,7
responsibility,1
joe,35
candidate,12
unbelievably,1
endure,2
hour,4
deception,4
crew,2
forced,8
death,4
valley,1
hakes,1
former,17
prosecutor,7
significant,3
debunked,1
dossier,3
carter,2
page,4
agent,4
got,67
explain,6
half,2
from,1
invest,2
attorney,10
denouncing,1
march,3
actually,27
later,5
qnbbiakfbk,1
exciting,3
fan,1
soon,24
lead,7
allow,12
sleepy,19
stumble,1
finish,2
destroy,9
security,18
alone,3
promised,1
came,12
interesting,7
race,16
match,3
electricity,1
conceded,1
forward,23
prime,10
blue,1
week,12
details,1
timing,1
peace,7
plan,5
purely,1
speculative,1
witness,16
lawyer,16
who,9
so,30
problem,12
undermining,1
peek,1
poker,1
foolhardy,1
unsuspecting,1
when,8
spend,6
helping,10
whoever,5
nominee,4
won,14
hit,28
whose,3
presentation,2
loaded,3
misrepresentations,1
refusing,1
administration,33
withheld,2
pakistan,1
egypt,3
demand,6
produce,3
sought,3
for,7
chance,6
pretended,2
congressional,10
fiction,4
theory,2
filling,2
presumptions,1
weak,9
self,2
indulgent,1
goods,2
heatherchilders,1
urging,3
reject,1
legal,6
factual,2
dangerous,9
historical,1
precedent,1
unsuccessful,1
effort,8
impeach,24
integrity,1
charles,2
asst,1
side,11
telling,4
truth,6
immediately,10
sent,4
crowd,7
maria,3
giant,10
closer,3
ways,5
terrific,2
successful,12
trip,3
mop,1
mess,7
admitted,5
went,12
quid,16
quo,17
nomination,2
loser,2
story,40
overwhelming,2
need,28
eastern,2
forum,3
switzerland,2
progress,7
tremendous,23
wow,24
stupid,5
except,8
comes,4
talking,11
generation,1
direct,2
serbia,1
representative,3
randy,2
weber,1
beginning,18
illegal,19
immigration,9
reprwilliams,1
tough,19
davos,1
additional,2
universe,1
fix,5
harm,2
unprotected,1
bit,4
exactly,9
sworn,3
office,14
appropriate,8
jr,1
poverty,1
youth,2
add,8
stone,3
cold,2
every,20
lie,10
fraudulently,8
worked,16
supposed,5
commonwealth,4
check,8
in,15
less,18
due,18
process,27
levin,6
very,5
loyal,4
fiercely,1
patriotic,2
afbf2020,1
critical,1
jack,2
saved,9
perhaps,20
church,5
carrying,1
gun,6
shooter,2
rampage,2
unified,4
lone,1
star,6
speaking,3
proof,2
oh,6
disgrace,13
flawed,1
advice,3
newspaper,2
broke,3
entirely,3
breaking,10
stock,31
other,4
sea,2
built,9
around,16
rare,2
costly,3
foolish,1
environmentally,1
unfriendly,1
anyway,7
ready,14
third,5
proven,3
inaccurately,1
embarrassment,2
purpose,1
belittling,1
clip,1
change,10
drive,4
stocks,2
accident,2
place,20
obviously,2
tax,10
cut,9
stephenmoore,1
surge,1
housing,2
construction,2
16,1
national,17
آمریکا,1
دوست,1
دارند,1
دولتی,1
بر,1
آنها,4
جرم,1
خواهی,1
کند,1
آن,1
که,1
ایران,6
ویرانی,1
باید,2
افکنی,1
کنار,1
noble,2
deserve,3
government,16
interested,2
achieve,1
killing,9
demanding,3
respect,11
leading,6
ruin,2
abandon,1
terror,1
lately,2
nasty,4
suffering,3
careful,3
serious,3
wisdom,5
ted,1
event,10
rigging,1
iowa,1
order,19
sit,1
thereby,1
tigers,1
coach,1
team,9
school,2
mini,5
ads,1
purposely,5
vanity,1
project,2
regulation,3
debater,1
speaker,13
did,3
if,1
possible,16
entertaining,2
joke,7
whole,19
cheap,2
theatrics,1
brought,14
bargaining,1
table,2
achievements,1
goa,1
backwards,1
law,23
permit,1
substitute,2
opposite,2
constitution,8
perfect,22
most,1
nonfiction,1
via,3
incoming,2
tariff,1
hand,17
waste,3
minute,1
taxpayer,2
laura,3
cryin,5
privately,1
unbelievable,3
whenever,1
politics,11
bad,67
relationship,8
position,2
phase,6
agree,18
setting,3
territory,2
steyer,1
running,10
cash,2
coal,1
funny,2
kingdom,4
stated,18
replace,5
adviser,3
general,17
background,1
religion,4
color,1
creed,1
movement,3
believe,27
equality,1
dignity,1
opportunity,1
safety,7
tent,1
god,7
bless,4
lopsided,1
basement,1
apple,6
refuse,3
unlock,1
used,9
drug,16
violent,1
criminal,9
step,7
plate,2
rick,3
outrage,1
protecting,4
unpopular,2
individual,3
mandate,2
booker,1
polling,9
presidential,27
rest,8
